Date,P_StartTime_1,P_EndTime_1,P_SL_1,P_UTSL_1,P_OM_1,Future_1,CE.Strike_1,CE.Price_1,CE.SL.Time_1,CE.PNL_1,PE.Strike_1,PE.Price_1,PE.SL.Time_1,PE.PNL_1,UT.Strike_1,UT.Price_1,UT.SL.Time_1,BPL_1,TT.PL.AT.SL_1,UT.PL.AT.SL_1,UT.PNL_1,Total.PNL_1,P_StartTime_2,P_EndTime_2,P_SL_2,P_UTSL_2,P_OM_2,Future_2,CE.Strike_2,CE.Price_2,CE.SL.Time_2,CE.PNL_2,PE.Strike_2,PE.Price_2,PE.SL.Time_2,PE.PNL_2,UT.Strike_2,UT.Price_2,UT.SL.Time_2,BPL_2,TT.PL.AT.SL_2,UT.PL.AT.SL_2,UT.PNL_2,Total.PNL_2,Total.PNL
2018-03-06,09:16:00,13:00:00,0,0,1,25040.1,24800CE,294.45,,99.12,25200PE,274.95,,-113.48687500000001,,,,-14.367500000000035,0,0,0,-14.37,13:00:00,15:25:00,30.0,50.0,0.5,24875.0,25000CE,104.35,,90.2,24700PE,101.5,14:14:00,-31.72,25000CE,73.55,,0.0,-31.71874999999999,29.495624999999997,60.7,58.48,44.11
2018-03-07,09:16:00,13:00:00,0,0,1,24363.6,24200CE,230.3,,71.72,24500PE,235.55,,-63.89437499999999,,,,7.826875000000037,0,0,0,7.83,13:00:00,15:25:00,30.0,50.0,0.5,24276.0,24300CE,104.65,13:57:00,-32.7,24200PE,124.25,14:10:00,-38.83,24200PE,90.15,14:08:00,0.0,-32.7,32.54687499999999,-45.08,-45.22812500000003,-37.4
2018-03-08,09:16:00,13:00:00,0,0,1,24319.95,24100CE,207.85,,30.55,24500PE,214.35,,-14.829375000000006,,,,15.7225,0,0,0,15.72,13:00:00,15:25:00,30.0,50.0,0.5,24301.1,24200CE,99.35,14:13:00,-31.05,24400PE,139.6,13:13:00,-43.62,24200CE,65.6,13:25:00,0.0,-43.62,32.508125,-32.8,-43.911874999999995,-28.19
2018-03-09,09:16:00,13:00:00,0,0,1,24536.75,24500CE,223.65,,23.7,24500PE,220.2,,-50.40250000000003,,,,-26.698125000000033,0,0,0,-26.7,13:00:00,15:25:00,30.0,50.0,0.5,24461.6,24700CE,116.1,,49.25,24100PE,122.0,14:52:00,-38.12,24700CE,81.95,,0.0,-38.12499999999999,32.69874999999999,16.55,11.12,-15.58
2018-03-12,09:16:00,13:00:00,0,0,1,24461.85,24400CE,227.55,,-22.29,24500PE,244.95,,16.888124999999988,,,,-5.40625,0,0,0,-5.41,13:00:00,15:25:00,30.0,50.0,0.5,24508.3,24700CE,107.0,13:59:00,-33.44,24200PE,117.15,,64.89,24200PE,97.4,,0.0,-33.44,18.285625,46.6,31.44562500000001,26.04
2018-03-13,09:16:00,13:00:00,0,0,1,24728.8,24600CE,229.25,,-231.32,24800PE,228.85,,141.339375,,,,-89.97625,0,0,0,-89.98,13:00:00,15:25:00,30.0,50.0,0.5,25056.75,25000CE,165.9,,112.58,25000PE,151.0,13:51:00,-47.19,25000CE,98.7,,0.0,-47.187500000000014,65.12625,47.45,65.39,-24.59
2018-03-14,09:16:00,13:00:00,0,0,1,24700.1,24500CE,257.75,,15.88,24800PE,227.2,,14.209999999999983,,,,30.088124999999977,0,0,0,30.09,13:00:00,15:25:00,30.0,50.0,0.5,24716.85,24700CE,122.75,13:35:00,-38.36,24600PE,113.0,,86.99,24600PE,76.0,,0.0,-38.36,35.5875,51.4,48.6275,78.72
2018-03-15,09:16:00,13:00:00,0,0,1,24890.2,24600CE,251.85,,-10.3,25100PE,260.65,,21.19187499999999,,,,10.893749999999983,0,0,0,10.89,13:00:00,15:25:00,30.0,50.0,0.5,24907.75,24800CE,106.0,13:14:00,-33.13,25000PE,155.55,14:01:00,-48.61,25000PE,109.9,14:00:00,0.0,-33.13,43.705625000000005,-54.95,-44.374375000000015,-33.48
2018-03-16,09:16:00,13:00:00,0,0,1,24749.95,24700CE,254.6,,-31.08,24700PE,232.65,,21.491875000000007,,,,-9.590625,0,0,0,-9.59,13:00:00,15:25:00,30.0,50.0,0.5,24814.85,25100CE,103.6,,52.05,24400PE,112.1,14:33:00,-35.03,25100CE,65.95,,0.0,-35.03124999999999,36.35499999999999,15.7,17.02,7.43
2018-03-19,09:16:00,13:00:00,0,0,1,24638.65,24600CE,210.9,,108.96,24600PE,207.9,,-164.69875,,,,-55.734999999999985,0,0,0,-55.73,13:00:00,15:25:00,30.0,50.0,0.5,24351.0,24500CE,131.95,,26.25,24100PE,134.7,,7.516249999999989,,,,33.766874999999985,0.0,0.0,0.0,33.77,-21.96
