date_time,index,scrip,open,high,low,close,volume,openinterest,expiry_date,dte,date_time
2022-01-06 09:25:00,NIFTY,17950PE,188.7,196.0,188.7,193.95,40600,703950,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17550CE,220.4,220.4,214.0,220.15,3350,142200,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18000PE,239.0,245.75,238.2,243.35,105200,653150,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17500CE,269.25,269.25,261.8,263.9,17800,614250,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18050PE,287.0,294.8,287.0,291.35,2000,52050,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17450CE,318.65,318.65,311.0,312.7,700,86450,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18100PE,340.0,343.75,338.9,341.2,2000,77600,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17400CE,363.8,368.25,360.0,362.55,1000,365600,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18150PE,391.5,391.5,388.7,389.55,400,6200,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17350CE,413.0,413.0,410.0,410.0,350,94450,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18200PE,436.75,440.0,436.75,436.75,400,20050,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17300CE,463.3,464.2,459.3,459.55,3600,281250,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18250PE,494.0,494.0,491.6,491.6,50,1200,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17250CE,534.65,534.65,510.0,510.1,600,72350,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,18300PE,536.35,542.0,536.35,542.0,50,6800,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17200CE,564.2,565.15,557.75,559.2,750,218700,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17100CE,662.0,662.0,658.15,658.95,350,76850,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,17000CE,760.0,766.3,757.85,757.85,1450,349250,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,16900CE,865.15,865.15,860.3,862.2,350,69150,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,16700CE,1070.0,1070.0,1058.75,1058.75,500,15300,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:25:00,NIFTY,16000CE,1785.0,1785.0,1758.35,1758.35,50,11300,2022-01-06,0,2022-01-06 09:25:00
2022-01-06 09:26:00,NIFTY,15200PE,0.45,0.45,0.3,0.3,450,157950,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,15750PE,0.55,0.55,0.3,0.3,200,31300,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,15800PE,0.35,0.35,0.3,0.3,1300,279700,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19250CE,0.35,0.35,0.3,0.3,2300,16800,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,15500PE,0.3,0.35,0.3,0.35,7500,946200,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,15600PE,0.35,0.35,0.35,0.35,1600,268400,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,15700PE,0.4,0.4,0.35,0.35,100,236550,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,15900PE,0.3,0.35,0.3,0.35,800,107950,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18700CE,0.45,0.45,0.35,0.35,5900,280950,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18800CE,0.35,0.4,0.3,0.35,20050,238300,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18850CE,0.3,0.35,0.3,0.35,400,48700,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18900CE,0.4,0.4,0.3,0.35,6700,141150,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18950CE,0.4,0.4,0.3,0.35,4050,31200,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19400CE,0.4,0.4,0.35,0.35,1450,50500,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19600CE,0.35,0.35,0.35,0.35,2650,196400,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,15100PE,0.4,0.45,0.4,0.4,10600,1827800,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16000PE,0.4,0.45,0.4,0.4,26050,1060200,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16100PE,0.35,0.4,0.35,0.4,1150,168150,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16200PE,0.35,0.4,0.35,0.4,3250,456400,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16300PE,0.45,0.45,0.4,0.4,650,368350,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16350PE,0.35,0.45,0.35,0.4,2150,69300,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18750CE,0.35,0.4,0.35,0.4,5500,119000,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19000CE,0.35,0.4,0.3,0.4,13800,849200,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19050CE,0.4,0.4,0.4,0.4,200,43300,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19100CE,0.35,0.4,0.3,0.4,4650,44250,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19150CE,0.4,0.4,0.4,0.4,1800,17350,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19200CE,0.4,0.4,0.25,0.4,7050,33550,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19300CE,0.35,0.4,0.3,0.4,3200,32450,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,19500CE,0.4,0.4,0.35,0.4,2300,317900,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,15150PE,0.45,0.45,0.45,0.45,100,27750,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16250PE,0.45,0.45,0.45,0.45,750,56050,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16400PE,0.45,0.5,0.45,0.45,5000,638150,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16500PE,0.5,0.5,0.45,0.45,11700,2107450,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16600PE,0.5,0.5,0.45,0.45,3050,443200,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18550CE,0.55,0.55,0.45,0.45,350,119450,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18600CE,0.45,0.45,0.4,0.45,17700,311150,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18650CE,0.4,0.45,0.4,0.45,500,96950,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16450PE,0.5,0.5,0.5,0.5,500,66650,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16700PE,0.5,0.5,0.45,0.5,2750,704600,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16650PE,0.5,0.55,0.5,0.55,1000,153700,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16750PE,0.55,0.55,0.5,0.55,200,133550,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16800PE,0.55,0.6,0.55,0.55,36150,1580100,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18450CE,0.6,0.65,0.55,0.55,1500,133050,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18400CE,0.65,0.7,0.6,0.6,38550,1091400,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18500CE,0.55,0.6,0.5,0.6,140300,3925100,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18350CE,0.7,0.75,0.65,0.65,8100,277000,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16850PE,0.75,0.75,0.6,0.7,3300,150950,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16900PE,0.7,0.75,0.65,0.7,24950,1409850,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,16950PE,0.8,0.85,0.75,0.75,5350,256050,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17000PE,0.85,0.85,0.75,0.75,113900,5831750,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18300CE,0.85,0.85,0.75,0.75,137000,2503450,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17050PE,0.9,0.9,0.8,0.8,5050,289150,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17100PE,0.9,0.95,0.85,0.85,54050,2126550,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18250CE,0.9,0.9,0.8,0.85,21400,816750,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18200CE,1.0,1.05,0.95,1.0,181000,5296550,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17150PE,1.1,1.1,1.05,1.05,27100,420100,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18150CE,1.05,1.15,1.05,1.05,225350,1595450,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17200PE,1.2,1.2,1.1,1.2,199500,5199300,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18100CE,1.35,1.4,1.3,1.3,519950,5815050,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17250PE,1.3,1.35,1.2,1.35,52400,820150,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17300PE,1.55,1.6,1.5,1.5,283400,3739950,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18050CE,1.65,1.65,1.55,1.55,361400,3280100,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17350PE,1.75,1.75,1.65,1.7,57450,921450,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17400PE,2.2,2.25,2.05,2.1,283050,3723800,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18000CE,2.35,2.4,2.2,2.25,1134400,9174200,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17450PE,3.0,3.0,2.75,2.75,70200,1129400,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17950CE,3.25,3.5,3.15,3.2,465050,3349300,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17500PE,4.35,4.4,4.0,4.05,324300,5593800,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17550PE,6.4,6.45,6.0,6.0,123800,1568950,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17900CE,5.9,6.5,5.85,6.2,567500,5972000,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17600PE,10.15,10.15,9.55,9.6,410750,4534950,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17850CE,12.65,13.85,12.45,12.7,672950,2461300,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17650PE,16.25,16.5,15.7,15.75,276250,2616100,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17800CE,27.45,28.65,26.0,26.35,1136150,4948400,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17700PE,26.95,28.35,26.55,27.75,920500,6943000,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17750PE,43.1,45.55,42.55,44.85,447450,2611850,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17750CE,51.6,53.2,48.8,49.9,368050,1561200,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17800PE,68.55,72.75,67.65,70.65,718600,5135700,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17700CE,85.8,87.6,80.75,82.45,328050,2648050,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17850PE,104.0,109.5,103.15,108.0,417000,1180750,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17650CE,124.6,127.0,119.1,122.1,92000,772500,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17900PE,147.3,152.75,145.5,151.15,170150,3041000,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17600CE,168.2,170.75,163.0,165.0,38050,749150,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17950PE,195.4,200.5,192.25,196.7,36000,647050,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17550CE,220.15,220.15,209.95,210.6,2750,138600,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18000PE,244.7,249.85,241.75,245.75,79700,595100,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17500CE,263.1,264.9,256.65,260.05,20900,577650,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18050PE,293.65,296.95,291.85,295.75,2250,51750,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17450CE,312.7,312.7,311.35,312.0,150,86450,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,18100PE,341.2,347.6,339.85,347.0,3050,76800,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17400CE,362.55,363.0,355.1,358.55,2700,365500,2022-01-06,0,2022-01-06 09:26:00
2022-01-06 09:26:00,NIFTY,17350CE,410.0,410.0,409.6,409.6,250,94450,2022-01-06,0,2022-01-06 09:26:00
